combined_id,n_publications,n_data_generated,n_data_shared,n_data_linked,data_locations,n_code_generated,n_code_shared,code_locations,nserc_top_award_all,nserc_top_year_all,nserc_top_z_all,n_awards_nserc
marc_amyot_universitedemontreal,1,1,1,1,"Online,Supplementary Information",1,0,,47000,2018,0.36096544665859187,2
daniel_weary_universityofbritishcolumbia,20,20,20,7,"Online; Online,Supplementary Information; Supplementary Information",16,7,Online; Supplementary Information,61000,2016,1.7236283317891645,3
christopher_buddle_mcgilluniversity,1,1,1,0,Supplementary Information,0,0,,40000,2019,-0.07579467363858858,4
francoisjoseph_lapointe_universitedemontreal,1,1,1,1,"Online,Supplementary Information",1,1,Online,28000,2021,-0.4763134929381876,4
richard_cloutier_universiteduquebecarimouski,1,1,1,0,Supplementary Information,0,1,Supplementary Information,33000,2019,-0.5934633521556467,3
eranga_ukwatta_universityofguelph,1,1,1,0,Supplementary Information,1,0,,50000,2023,0.41767162062846913,2
thomas_sherratt_carletonuniversity,1,1,1,1,"Online,Supplementary Information",1,1,Online,63995,2019,1.6986996036495272,3
herb_schellhorn_mcmasteruniversity,1,1,0,0,,1,0,,40000,2010,0.24956388313068534,2
deanna_gibson_universityofbritishcolumbia,2,2,1,1,"Online,Supplementary Information",1,0,,33000,2019,0.023759739644216963,3
john_fairbrother_universitedemontreal,2,2,1,0,Supplementary Information,1,0,,33000,2018,-0.4120276942045261,1
brian_lanoil_universityofalberta,1,1,0,0,,0,0,,41000,2009,-0.6261175268590145,2
daniel_durall_universityofbritishcolumbia,1,1,1,1,"Online,Supplementary Information",1,1,Online,35000,2016,-0.1179224928461904,2
kathleen_wilkie_torontometropolitanuniversity,1,1,1,0,Supplementary Information,1,1,Supplementary Information,16000,2018,-0.8612581532595391,1
karim_jerbi_universitedemontreal,2,2,2,1,"Online,Supplementary Information; Supplementary Information",2,0,,33000,2021,-0.3579536376391629,2
yashar_zeighami_mcgilluniversity,1,1,1,1,"Online,Supplementary Information",1,1,Online,44000,2023,-0.20670328308386327,1
mariehelene_pennestri_mcgilluniversity,1,1,0,0,,0,0,,26000,2022,-0.8744923319436126,1
hossein_rouhani_universityofalberta,1,1,0,0,,0,0,,24000,2016,-0.8851942179032132,1
corinne_hoesli_mcgilluniversity,1,1,1,0,Supplementary Information,0,0,,33000,2020,-0.5787895376786198,2
peter_hall_universityofwaterloo,1,1,1,1,Online,1,0,,28000,2019,-0.8439146180646857,1
david_stonge_ecoledetechnologiesuperieure,1,1,1,1,Online,0,0,,51000,2020,1.228286670402679,1
john_stavrinides_universityofregina,1,1,1,0,Supplementary Information,1,0,,36000,2021,-0.2418019409955716,3
michal_abrahamowicz_mcgilluniversity,2,2,2,2,"Online; Online,Supplementary Information",2,1,Online,37000,2017,1.2013923883279898,4
frederick_kingdom_mcgilluniversity,1,1,1,0,Supplementary Information,1,1,Supplementary Information,59000,2023,1.15737416207162,3
lisa_kellman_stfrancisxavieruniversity,1,1,0,0,,1,0,,43000,2020,0.10069249672115667,3
david_sidhu_carletonuniversity,1,1,1,1,Online,0,0,,33000,2023,-1.1180123878308745,1
keith_warriner_universityofguelph,2,2,0,0,,1,0,,26000,2014,-0.5957394742824886,2
benjamin_deleener_ecolepolytechniquedemontreal,1,1,0,0,,0,0,,38000,2022,-0.2181628053708183,1
clayton_dickson_universityofalberta,3,2,3,3,Online,2,0,,40000,2021,0.1514530665581601,3
mu_chiao_universityofbritishcolumbia,1,1,1,0,Supplementary Information,0,0,,46000,2024,0.1417556073253163,5
ravi_menon_universityofwesternontario,1,1,1,1,"Online,Supplementary Information",1,0,,95000,2019,2.823168618756313,2
boris_zhorov_mcmasteruniversity,1,1,1,0,Supplementary Information,1,0,,47000,2014,0.39493164189489505,3
stephen_dery_universityofnorthernbritishcolumbia,1,1,1,0,Supplementary Information,0,0,,40000,2016,0.5268269207360602,3
fereidoon_shahidi_memorialuniversityofnewfoundland,1,1,1,0,Supplementary Information,0,0,,61000,2016,1.7236283317891645,2
michael_wheeler_universityoftoronto,1,1,1,1,"Online,Supplementary Information",1,0,,39000,2023,-0.2418019409955716,2
bret_pearson_universityoftoronto,1,1,1,1,"Online,Supplementary Information",1,0,,64000,2016,2.601723701066699,2
terence_bukong_institutnationaldelarecherchescientifique,1,1,1,1,Online,1,1,Online,30000,2021,-0.9266382354455373,1
rebecca_thornhill_carletonuniversity,3,3,3,0,Supplementary Information,2,0,,33000,2021,-0.3995906822174873,1
christine_theoret_universitedemontreal,1,1,1,1,Online,0,0,,24000,2012,-0.490946231881269,1
michael_stickland_universityofalberta,1,1,1,0,Supplementary Information,1,0,,47000,2022,0.4381301770492908,3
jiaying_zhao_universityofbritishcolumbia,3,3,3,3,Online,1,1,Online,31000,2014,-0.25235224475279494,1
cecile_bulle_universiteduquebecamontreal,1,1,0,0,,1,0,,24000,2017,-0.4362241172823341,1
jason_gallivan_queensuniversity,3,3,3,2,Online; Supplementary Information,3,3,Online; Supplementary Information,54000,2024,0.2217450941714295,2
christophe_grova_concordiauniversity,2,2,2,2,"Online; Online,Supplementary Information",2,2,Online,35000,2013,0.018995172003653128,3
julien_gibon_universityofbritishcolumbia,2,2,2,1,"Online,Supplementary Information; Supplementary Information",1,1,Online,30000,2021,-0.9266382354455373,1
pascal_fallavollita_universityofottawa,1,1,0,0,,0,0,,20000,2017,-0.749868877187757,1
catherine_mercier_universitelaval,5,5,2,1,Online; Supplementary Information,4,0,,65000,2019,1.6832596329376475,2
jan_seuntjens_mcgilluniversity,1,1,1,0,Supplementary Information,0,0,,95000,2019,2.823168618756313,3
soren_gantt_universitedemontreal,4,4,4,2,"Online; Online,Supplementary Information; Supplementary Information",3,1,Online,32000,2018,-0.8159125471785625,1
majid_komeili_carletonuniversity,1,1,1,1,Online,0,0,,29000,2020,-0.5888757277457308,1
jude_uzonna_universityofmanitoba,2,2,2,0,Supplementary Information,0,0,,46000,2009,0.8313268682793871,3
mark_nitz_universityoftoronto,3,3,3,1,Online; Supplementary Information,3,1,Online,99000,2023,1.8127892756363746,3
james_wakeling_simonfraseruniversity,2,2,1,0,Supplementary Information,1,0,,40000,2020,0.06374047970035289,3
thomas_gervais_ecolepolytechniquedemontreal,1,1,1,0,Supplementary Information,0,0,,39000,2020,0.03971189171417298,2
john_prescott_universityofguelph,1,1,1,0,Supplementary Information,0,0,,40000,2011,0.02498384840404703,1
heather_major_universityofnewbrunswick,1,1,1,1,"Online,Supplementary Information",1,0,,28000,2019,-0.9632266939535454,1
antonio_conconi_universitedesherbrooke,1,1,1,1,"Online,Supplementary Information",0,0,,28000,2017,-0.519314744206426,2
lawrence_joseph_mcgilluniversity,1,1,1,0,Supplementary Information,0,0,,38000,2009,2.822574193695035,2
mariefrance_marin_universiteduquebecamontreal,1,1,1,1,Online,0,0,,24000,2018,-1.0917522053154742,1
neil_chilton_universityofsaskatchewan,1,1,1,1,Online,0,0,,47000,2021,1.109454075351635,3
eldon_emberly_simonfraseruniversity,2,2,2,1,"Online,Supplementary Information; Supplementary Information",1,1,Supplementary Information,41000,2022,-0.0018080041487517642,3
nick_virgilio_ecolepolytechniquedemontreal,1,1,1,0,Supplementary Information,0,0,,46000,2024,-0.3315408883707911,3
andre_desrochers_universitelaval,1,1,1,0,Supplementary Information,1,0,,42000,2013,0.7008997445017344,2
boris_bernhardt_mcgilluniversity,3,3,3,3,"Online,Supplementary Information",3,3,Online,30000,2017,-0.23831647461850744,1
jean_bousquet_universitelaval,1,1,1,1,"Online,Supplementary Information",1,0,,48000,2011,0.8083625392468072,2
nathalie_grandvaux_universitedemontreal,2,2,1,1,Online,1,0,,58000,2018,1.3826547092147314,2
samira_mubareka_universityoftoronto,4,4,4,2,"Online; Online,Supplementary Information; Supplementary Information",3,1,Online,28000,2020,-0.7721107852912357,1
fiona_parkinson_universityofmanitoba,1,1,1,0,Supplementary Information,0,0,,20000,2007,-1.1314863135768802,1
karl_riabowol_universityofcalgary,1,1,0,0,,0,0,,48000,2017,1.0484063241718247,1
franco_lepore_universitedemontreal,1,1,1,1,Online,1,0,,64000,2009,2.6122601078855214,2
merve_bodur_universityoftoronto,1,1,1,1,Online,1,1,Online,36000,2018,-0.031187840249251,1
fawzi_aoudjit_universitelaval,2,2,1,1,"Online,Supplementary Information",0,0,,34000,2017,0.008270354964612875,2
david_marsolais_universitelaval,1,1,1,0,Supplementary Information,0,0,,45000,2011,0.5145955301807722,1
claudine_gauthier_concordiauniversity,1,1,0,0,,1,0,,41000,2024,-0.5452497524202965,2
kenneth_harris_universityofalberta,1,1,1,0,Supplementary Information,0,0,,38000,2023,-0.5612388755312028,2
juan_murias_universityofcalgary,1,1,1,1,Online,0,0,,39000,2022,-0.06191649304324388,2
carolyn_cummins_universityoftoronto,2,2,2,0,Supplementary Information,1,1,Supplementary Information,47000,2014,0.3725602564455981,4
fanrui_meng_universityofnewbrunswick,1,1,0,0,,1,0,,21000,2012,-0.4305711519875706,1
jayne_yack_carletonuniversity,1,1,1,1,"Online,Supplementary Information",1,0,,71000,2014,2.560201940230767,3
nicole_mideo_universityoftoronto,2,2,2,2,"Online; Online,Supplementary Information",1,1,Online,62000,2024,0.8490680676896295,3
haiying_cheng_universityoftoronto,1,1,1,0,Supplementary Information,1,0,,35000,2016,-0.1179224928461904,2
christopher_mody_universityofcalgary,1,1,1,0,Supplementary Information,0,0,,36000,2020,-0.4733003556650671,2
andrew_bennet_simonfraseruniversity,1,1,1,0,Supplementary Information,1,0,,90000,2017,1.2815943113499737,3
daniel_krewski_universityofottawa,1,1,1,1,Online,1,1,Online,19000,2009,-0.17267824509840443,3
abigail_gerhold_mcgilluniversity,1,1,1,1,"Online,Supplementary Information",1,0,,30000,2020,-1.0253587406827143,1
jeffrey_keillor_universityofottawa,1,1,1,0,Supplementary Information,0,0,,79000,2019,1.034801795226391,3
gail_davoren_universityofmanitoba,1,1,1,1,Online,0,0,,45000,2014,0.7803598121331514,3
john_rohde_dalhousieuniversity,1,1,1,0,Supplementary Information,1,0,,32000,2010,-0.44105945025454896,1
simon_joly_universitedemontreal,1,1,1,1,"Online,Supplementary Information",1,0,,47000,2018,0.36096544665859187,3
louisdavid_beaulieu_universiteduquebecachicoutimi,4,4,3,3,Online,1,0,,33000,2023,-1.1180123878308745,1
malcolm_campbell_universityofguelph,1,1,1,0,Supplementary Information,0,0,,56000,2011,1.15737416207162,1
hugo_wurtele_universitedemontreal,3,3,2,2,"Online,Supplementary Information",3,0,,50000,2019,0.7498699100552618,2
benjamin_hatton_universityoftoronto,1,1,0,0,,1,0,,28000,2019,-0.39757543916067867,2
jeremy_burton_universityofwesternontario,1,1,1,1,"Online,Supplementary Information",1,1,Supplementary Information,29941,2022,-0.772635076171899,1
robert_reisz_universityoftoronto,4,4,4,3,Online; Supplementary Information,1,0,,90000,2015,4.1683962576266875,3
daria_boffito_ecolepolytechniquedemontreal,1,1,1,1,Online,0,0,,39000,2022,-0.09835853562090709,2
marylise_duperthuy_universitedemontreal,1,1,1,1,"Online,Supplementary Information",1,0,,26000,2017,-0.6951764439301056,1
david_patrick_universityofbritishcolumbia,5,5,4,4,"Online; Online,Supplementary Information",4,0,,26000,2015,-0.47661363302942894,1
robert_bentley_universityoftoronto,2,2,2,0,Supplementary Information,0,0,,33000,2022,-0.43695149561264485,1
james_russell_universityofbritishcolumbia,1,1,1,0,Supplementary Information,0,0,,61000,2018,1.5188138649379546,3
